freq,indic_is,unit,geo,year,value_raw,value,indic_is_label,unit_label,geo_label,nuts1_name,country_code,nuts_level
A,I_DSK2_AB,PC_IND,FRY,2025,28.51 u,28.51,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,RUP FR — Régions Ultrapériphériques Françaises,RUP FR — Régions Ultrapériphériques Françaises,FR,1
A,I_DSK2_AB,PC_IND,HU1,2025,46.07 ,46.07,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Közép-Magyarország,Közép-Magyarország,HU,1
A,I_DSK2_AB,PC_IND,HU2,2025,29.00 ,29.0,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Dunántúl,Dunántúl,HU,1
A,I_DSK2_AB,PC_IND,HU3,2025,27.92 ,27.92,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Alföld és Észak,Alföld és Észak,HU,1
A,I_DSK2_AB,PC_IND,ITC,2025,36.33 ,36.33,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Nord-Ovest,Nord-Ovest,IT,1
A,I_DSK2_AB,PC_IND,ITF,2025,23.40 ,23.4,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Sud,Sud,IT,1
A,I_DSK2_AB,PC_IND,ITG,2025,25.02 ,25.02,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Isole,Isole,IT,1
A,I_DSK2_AB,PC_IND,ITH,2025,35.74 ,35.74,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Nord-Est,Nord-Est,IT,1
A,I_DSK2_AB,PC_IND,ITI,2025,33.70 ,33.7,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Centro (IT),Centro (IT),IT,1
A,I_DSK2_AB,PC_IND,NL1,2025,50.42 ,50.42,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Noord-Nederland,Noord-Nederland,NL,1
A,I_DSK2_AB,PC_IND,NL2,2025,53.06 ,53.06,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Oost-Nederland,Oost-Nederland,NL,1
A,I_DSK2_AB,PC_IND,NL3,2025,59.42 ,59.42,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,West-Nederland,West-Nederland,NL,1
A,I_DSK2_AB,PC_IND,NL4,2025,51.83 ,51.83,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Zuid-Nederland,Zuid-Nederland,NL,1
A,I_DSK2_AB,PC_IND,PL2,2025,27.28 ,27.28,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Makroregion południowy,Makroregion południowy,PL,1
A,I_DSK2_AB,PC_IND,PL4,2025,22.59 ,22.59,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Makroregion północno-zachodni,Makroregion północno-zachodni,PL,1
A,I_DSK2_AB,PC_IND,PL5,2025,23.38 ,23.38,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Makroregion południowo-zachodni,Makroregion południowo-zachodni,PL,1
A,I_DSK2_AB,PC_IND,PL6,2025,20.56 ,20.56,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Makroregion północny,Makroregion północny,PL,1
A,I_DSK2_AB,PC_IND,PL7,2025,15.72 ,15.72,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Makroregion centralny,Makroregion centralny,PL,1
A,I_DSK2_AB,PC_IND,PL8,2025,17.72 ,17.72,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Makroregion wschodni,Makroregion wschodni,PL,1
A,I_DSK2_AB,PC_IND,PL9,2025,33.17 ,33.17,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Makroregion województwo mazowieckie,Makroregion województwo mazowieckie,PL,1
A,I_DSK2_AB,PC_IND,PT1,2025,32.48 ,32.48,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Continente,Continente,PT,1
A,I_DSK2_AB,PC_IND,PT2,2025,21.86 ,21.86,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Região Autónoma dos Açores,Região Autónoma dos Açores,PT,1
A,I_DSK2_AB,PC_IND,PT3,2025,22.49 ,22.49,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Região Autónoma da Madeira,Região Autónoma da Madeira,PT,1
A,I_DSK2_AB,PC_IND,RO1,2025,11.93 ,11.93,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Macroregiunea Unu,Macroregiunea Unu,RO,1
A,I_DSK2_AB,PC_IND,RO2,2025,9.10 ,9.1,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Macroregiunea Doi,Macroregiunea Doi,RO,1
A,I_DSK2_AB,PC_IND,RO3,2025,14.55 ,14.55,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Macroregiunea Trei,Macroregiunea Trei,RO,1
A,I_DSK2_AB,PC_IND,RO4,2025,8.19 ,8.19,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Macroregiunea Patru,Macroregiunea Patru,RO,1
A,I_DSK2_AB,PC_IND,RS1,2025,16.13 ,16.13,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Srbija - sever,Serbia - sever,RS,1
A,I_DSK2_AB,PC_IND,RS2,2025,9.34 ,9.34,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Srbija - jug,Serbia - jug ,RS,1
A,I_DSK2_AB,PC_IND,SE1,2025,39.55 ,39.55,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Östra Sverige,Östra Sverige,SE,1
A,I_DSK2_AB,PC_IND,SE2,2025,37.47 ,37.47,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Södra Sverige,Södra Sverige,SE,1
A,I_DSK2_AB,PC_IND,SE3,2025,36.17 ,36.17,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Norra Sverige,Norra Sverige,SE,1
A,I_DSK2_AB,PC_IND,TR1,2025,14.83 ,14.83,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,İstanbul,İstanbul,TR,1
A,I_DSK2_AB,PC_IND,TR2,2025,8.40 ,8.4,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Batı Marmara,Batı Marmara,TR,1
A,I_DSK2_AB,PC_IND,TR3,2025,9.13 ,9.13,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Ege,Ege,TR,1
A,I_DSK2_AB,PC_IND,TR4,2025,14.70 ,14.7,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Doğu Marmara,Doğu Marmara,TR,1
A,I_DSK2_AB,PC_IND,TR5,2025,13.09 ,13.09,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Batı Anadolu,Batı Anadolu,TR,1
A,I_DSK2_AB,PC_IND,TR6,2025,7.77 ,7.77,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Akdeniz,Akdeniz,TR,1
A,I_DSK2_AB,PC_IND,TR7,2025,6.54 ,6.54,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Orta Anadolu,Orta Anadolu,TR,1
A,I_DSK2_AB,PC_IND,TR8,2025,7.67 ,7.67,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Batı Karadeniz,Batı Karadeniz,TR,1
A,I_DSK2_AB,PC_IND,TR9,2025,6.68 ,6.68,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Doğu Karadeniz,Doğu Karadeniz,TR,1
A,I_DSK2_AB,PC_IND,TRA,2025,5.16 ,5.16,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Kuzeydoğu Anadolu,Kuzeydoğu Anadolu,TR,1
A,I_DSK2_AB,PC_IND,TRB,2025,4.75 ,4.75,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Ortadoğu Anadolu,Ortadoğu Anadolu,TR,1
A,I_DSK2_AB,PC_IND,TRC,2025,3.70 ,3.7,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Güneydoğu Anadolu,Güneydoğu Anadolu,TR,1
A,I_DSK2_AB,PC_IND_IU3,AT1,2025,38.06 ,38.06,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Ostösterreich,Ostösterreich,AT,1
A,I_DSK2_AB,PC_IND_IU3,AT2,2025,33.23 ,33.23,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Südösterreich,Südösterreich,AT,1
A,I_DSK2_AB,PC_IND_IU3,AT3,2025,34.76 ,34.76,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Westösterreich,Westösterreich,AT,1
A,I_DSK2_AB,PC_IND_IU3,BE1,2025,37.89 ,37.89,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,1
A,I_DSK2_AB,PC_IND_IU3,BE2,2025,30.51 ,30.51,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Vlaams Gewest,Vlaams Gewest,BE,1
A,I_DSK2_AB,PC_IND_IU3,BE3,2025,28.91 ,28.91,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Région wallonne,Région wallonne,BE,1
A,I_DSK2_AB,PC_IND_IU3,BG3,2025,12.71 ,12.71,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Severna i Yugoiztochna Bulgaria,Severna i Yugoiztochna Bulgaria,BG,1
A,I_DSK2_AB,PC_IND_IU3,BG4,2025,14.31 ,14.31,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Yugozapadna i Yuzhna tsentralna Bulgaria,Yugozapadna i Yuzhna tsentralna Bulgaria,BG,1
A,I_DSK2_AB,PC_IND_IU3,DE1,2025,29.18 ,29.18,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Baden-Württemberg,Baden-Württemberg,DE,1
A,I_DSK2_AB,PC_IND_IU3,DE2,2025,20.85 ,20.85,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Bayern,Bayern,DE,1
A,I_DSK2_AB,PC_IND_IU3,DE3,2025,39.14 ,39.14,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Berlin,Berlin,DE,1
A,I_DSK2_AB,PC_IND_IU3,DE4,2025,26.85 ,26.85,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Brandenburg,Brandenburg,DE,1
A,I_DSK2_AB,PC_IND_IU3,DE6,2025,34.86 ,34.86,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Hamburg,Hamburg,DE,1
A,I_DSK2_AB,PC_IND_IU3,DE7,2025,22.19 ,22.19,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Hessen,Hessen,DE,1
A,I_DSK2_AB,PC_IND_IU3,DE8,2025,11.63 u,11.63,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,DE,1
A,I_DSK2_AB,PC_IND_IU3,DE9,2025,26.55 ,26.55,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Niedersachsen,Niedersachsen,DE,1
A,I_DSK2_AB,PC_IND_IU3,DEA,2025,27.41 ,27.41,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Nordrhein-Westfalen,Nordrhein-Westfalen,DE,1
A,I_DSK2_AB,PC_IND_IU3,DED,2025,26.99 ,26.99,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Sachsen,Sachsen,DE,1
A,I_DSK2_AB,PC_IND_IU3,DEE,2025,15.44 ,15.44,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Sachsen-Anhalt,Sachsen-Anhalt,DE,1
A,I_DSK2_AB,PC_IND_IU3,DEF,2025,27.01 ,27.01,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Schleswig-Holstein,Schleswig-Holstein,DE,1
A,I_DSK2_AB,PC_IND_IU3,EL3,2025,25.00 ,25.0,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Attiki,Attiki,EL,1
A,I_DSK2_AB,PC_IND_IU3,EL4,2025,33.69 ,33.69,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,"Nisia Aigaiou, Kriti","Nisia Aigaiou, Kriti",EL,1
A,I_DSK2_AB,PC_IND_IU3,EL5,2025,39.38 ,39.38,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Voreia Elláda,Voreia Elláda,EL,1
A,I_DSK2_AB,PC_IND_IU3,EL6,2025,28.88 ,28.88,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Kentriki Elláda,Kentriki Elláda,EL,1
A,I_DSK2_AB,PC_IND_IU3,ES1,2025,39.08 ,39.08,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Noroeste,Noroeste,ES,1
A,I_DSK2_AB,PC_IND_IU3,ES2,2025,38.13 ,38.13,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Noreste,Noreste,ES,1
A,I_DSK2_AB,PC_IND_IU3,ES3,2025,45.64 ,45.64,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Comunidad de Madrid,Comunidad de Madrid,ES,1
A,I_DSK2_AB,PC_IND_IU3,ES4,2025,36.36 ,36.36,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Centro (ES),Centro (ES),ES,1
