freq,indic_is,unit,geo,year,value_raw,value
A,I_DSK2_AB,PC_IND_IU3,CY,2025,19.46 ,19.46
A,I_DSK2_AB,PC_IND_IU3,CZ,2025,39.50 ,39.5
A,I_DSK2_AB,PC_IND_IU3,DE,2025,25.60 ,25.6
A,I_DSK2_AB,PC_IND_IU3,DE1,2025,29.18 ,29.18
A,I_DSK2_AB,PC_IND_IU3,DE2,2025,20.85 ,20.85
A,I_DSK2_AB,PC_IND_IU3,DE3,2025,39.14 ,39.14
A,I_DSK2_AB,PC_IND_IU3,DE4,2025,26.85 ,26.85
A,I_DSK2_AB,PC_IND_IU3,DE6,2025,34.86 ,34.86
A,I_DSK2_AB,PC_IND_IU3,DE7,2025,22.19 ,22.19
A,I_DSK2_AB,PC_IND_IU3,DE8,2025,11.63 u,11.63
A,I_DSK2_AB,PC_IND_IU3,DE9,2025,26.55 ,26.55
A,I_DSK2_AB,PC_IND_IU3,DEA,2025,27.41 ,27.41
A,I_DSK2_AB,PC_IND_IU3,DED,2025,26.99 ,26.99
A,I_DSK2_AB,PC_IND_IU3,DEE,2025,15.44 ,15.44
A,I_DSK2_AB,PC_IND_IU3,DEF,2025,27.01 ,27.01
A,I_DSK2_AB,PC_IND_IU3,DK,2025,53.20 ,53.2
A,I_DSK2_AB,PC_IND_IU3,EE,2025,35.47 ,35.47
A,I_DSK2_AB,PC_IND_IU3,EL,2025,30.82 ,30.82
A,I_DSK2_AB,PC_IND_IU3,EL3,2025,25.00 ,25.0
A,I_DSK2_AB,PC_IND_IU3,EL4,2025,33.69 ,33.69
A,I_DSK2_AB,PC_IND_IU3,EL5,2025,39.38 ,39.38
A,I_DSK2_AB,PC_IND_IU3,EL6,2025,28.88 ,28.88
A,I_DSK2_AB,PC_IND_IU3,ES,2025,40.34 ,40.34
A,I_DSK2_AB,PC_IND_IU3,ES1,2025,39.08 ,39.08
A,I_DSK2_AB,PC_IND_IU3,ES2,2025,38.13 ,38.13
A,I_DSK2_AB,PC_IND_IU3,ES3,2025,45.64 ,45.64
A,I_DSK2_AB,PC_IND_IU3,ES4,2025,36.36 ,36.36
A,I_DSK2_AB,PC_IND_IU3,ES5,2025,42.59 ,42.59
A,I_DSK2_AB,PC_IND_IU3,ES6,2025,37.45 ,37.45
A,I_DSK2_AB,PC_IND_IU3,ES7,2025,37.74 ,37.74
A,I_DSK2_AB,PC_IND_IU3,FI,2025,55.99 ,55.99
A,I_DSK2_AB,PC_IND_IU3,FR,2025,36.84 ,36.84
A,I_DSK2_AB,PC_IND_IU3,FR1,2025,42.53 u,42.53
A,I_DSK2_AB,PC_IND_IU3,FRB,2025,36.00 u,36.0
A,I_DSK2_AB,PC_IND_IU3,FRC,2025,27.56 u,27.56
A,I_DSK2_AB,PC_IND_IU3,FRD,2025,34.90 u,34.9
A,I_DSK2_AB,PC_IND_IU3,FRE,2025,32.95 u,32.95
A,I_DSK2_AB,PC_IND_IU3,FRF,2025,33.01 u,33.01
A,I_DSK2_AB,PC_IND_IU3,FRG,2025,38.91 u,38.91
A,I_DSK2_AB,PC_IND_IU3,FRH,2025,37.19 u,37.19
A,I_DSK2_AB,PC_IND_IU3,FRI,2025,34.90 u,34.9
A,I_DSK2_AB,PC_IND_IU3,FRJ,2025,36.41 u,36.41
A,I_DSK2_AB,PC_IND_IU3,FRK,2025,39.64 u,39.64
A,I_DSK2_AB,PC_IND_IU3,FRL,2025,35.48 u,35.48
A,I_DSK2_AB,PC_IND_IU3,FRM,2025,41.73 u,41.73
A,I_DSK2_AB,PC_IND_IU3,FRY,2025,32.13 u,32.13
A,I_DSK2_AB,PC_IND_IU3,HR,2025,32.20 ,32.2
A,I_DSK2_AB,PC_IND_IU3,HU,2025,36.69 ,36.69
A,I_DSK2_AB,PC_IND_IU3,HU1,2025,48.39 ,48.39
A,I_DSK2_AB,PC_IND_IU3,HU2,2025,31.31 ,31.31
A,I_DSK2_AB,PC_IND_IU3,HU3,2025,30.70 ,30.7
A,I_DSK2_AB,PC_IND_IU3,IE,2025,54.53 ,54.53
A,I_DSK2_AB,PC_IND_IU3,IT,2025,34.89 ,34.89
A,I_DSK2_AB,PC_IND_IU3,ITC,2025,39.10 ,39.1
A,I_DSK2_AB,PC_IND_IU3,ITF,2025,27.63 ,27.63
A,I_DSK2_AB,PC_IND_IU3,ITG,2025,28.87 ,28.87
A,I_DSK2_AB,PC_IND_IU3,ITH,2025,38.63 ,38.63
A,I_DSK2_AB,PC_IND_IU3,ITI,2025,36.18 ,36.18
A,I_DSK2_AB,PC_IND_IU3,LT,2025,30.60 ,30.6
A,I_DSK2_AB,PC_IND_IU3,LU,2025,28.36 ,28.36
A,I_DSK2_AB,PC_IND_IU3,LV,2025,21.30 ,21.3
A,I_DSK2_AB,PC_IND_IU3,ME,2025,11.38 ,11.38
A,I_DSK2_AB,PC_IND_IU3,MK,2025,6.67 ,6.67
A,I_DSK2_AB,PC_IND_IU3,MT,2025,39.62 ,39.62
A,I_DSK2_AB,PC_IND_IU3,NL,2025,55.78 ,55.78
A,I_DSK2_AB,PC_IND_IU3,NL1,2025,50.49 ,50.49
A,I_DSK2_AB,PC_IND_IU3,NL2,2025,53.18 ,53.18
A,I_DSK2_AB,PC_IND_IU3,NL3,2025,59.56 ,59.56
A,I_DSK2_AB,PC_IND_IU3,NL4,2025,52.13 ,52.13
A,I_DSK2_AB,PC_IND_IU3,NO,2025,51.77 ,51.77
A,I_DSK2_AB,PC_IND_IU3,PL,2025,26.26 ,26.26
A,I_DSK2_AB,PC_IND_IU3,PL2,2025,30.27 ,30.27
A,I_DSK2_AB,PC_IND_IU3,PL4,2025,24.78 ,24.78
A,I_DSK2_AB,PC_IND_IU3,PL5,2025,24.99 ,24.99
A,I_DSK2_AB,PC_IND_IU3,PL6,2025,23.08 ,23.08
A,I_DSK2_AB,PC_IND_IU3,PL7,2025,18.52 ,18.52
A,I_DSK2_AB,PC_IND_IU3,PL8,2025,20.24 ,20.24
A,I_DSK2_AB,PC_IND_IU3,PL9,2025,36.38 ,36.38
A,I_DSK2_AB,PC_IND_IU3,PT,2025,35.75 ,35.75
A,I_DSK2_AB,PC_IND_IU3,PT1,2025,36.29 ,36.29
A,I_DSK2_AB,PC_IND_IU3,PT2,2025,24.52 ,24.52
A,I_DSK2_AB,PC_IND_IU3,PT3,2025,25.46 ,25.46
A,I_DSK2_AB,PC_IND_IU3,RO,2025,11.95 ,11.95
A,I_DSK2_AB,PC_IND_IU3,RO1,2025,12.68 ,12.68
A,I_DSK2_AB,PC_IND_IU3,RO2,2025,9.87 ,9.87
A,I_DSK2_AB,PC_IND_IU3,RO3,2025,15.58 ,15.58
A,I_DSK2_AB,PC_IND_IU3,RO4,2025,8.81 ,8.81
A,I_DSK2_AB,PC_IND_IU3,RS,2025,14.26 ,14.26
A,I_DSK2_AB,PC_IND_IU3,RS1,2025,17.58 ,17.58
A,I_DSK2_AB,PC_IND_IU3,RS2,2025,10.58 ,10.58
A,I_DSK2_AB,PC_IND_IU3,SE,2025,38.78 ,38.78
A,I_DSK2_AB,PC_IND_IU3,SE1,2025,40.36 ,40.36
A,I_DSK2_AB,PC_IND_IU3,SE2,2025,38.03 ,38.03
A,I_DSK2_AB,PC_IND_IU3,SE3,2025,36.82 ,36.82
A,I_DSK2_AB,PC_IND_IU3,SI,2025,21.62 ,21.62
A,I_DSK2_AB,PC_IND_IU3,SK,2025,22.88 ,22.88
A,I_DSK2_AB,PC_IND_IU3,TR,2025,11.04 ,11.04
A,I_DSK2_AB,PC_IND_IU3,TR1,2025,15.42 ,15.42
A,I_DSK2_AB,PC_IND_IU3,TR2,2025,9.59 ,9.59
A,I_DSK2_AB,PC_IND_IU3,TR3,2025,10.29 ,10.29
A,I_DSK2_AB,PC_IND_IU3,TR4,2025,15.86 ,15.86
A,I_DSK2_AB,PC_IND_IU3,TR5,2025,14.49 ,14.49
A,I_DSK2_AB,PC_IND_IU3,TR6,2025,8.71 ,8.71
A,I_DSK2_AB,PC_IND_IU3,TR7,2025,7.39 ,7.39
A,I_DSK2_AB,PC_IND_IU3,TR8,2025,8.82 ,8.82
A,I_DSK2_AB,PC_IND_IU3,TR9,2025,7.87 ,7.87
A,I_DSK2_AB,PC_IND_IU3,TRA,2025,6.12 ,6.12
A,I_DSK2_AB,PC_IND_IU3,TRB,2025,6.04 ,6.04
A,I_DSK2_AB,PC_IND_IU3,TRC,2025,4.27 ,4.27
A,I_DSK2_AB,PC_IND_IU3,XK,2025,9.29 ,9.29
A,I_DSK2_B,PC_IND,AL,2025,19.57 ,19.57
A,I_DSK2_B,PC_IND,AT,2025,35.52 ,35.52
A,I_DSK2_B,PC_IND,AT1,2025,33.84 ,33.84
A,I_DSK2_B,PC_IND,AT2,2025,38.39 ,38.39
A,I_DSK2_B,PC_IND,AT3,2025,35.99 ,35.99
A,I_DSK2_B,PC_IND,BA,2025,26.50 ,26.5
A,I_DSK2_B,PC_IND,BE,2025,31.53 ,31.53
A,I_DSK2_B,PC_IND,BE1,2025,29.37 ,29.37
A,I_DSK2_B,PC_IND,BE2,2025,31.61 ,31.61
A,I_DSK2_B,PC_IND,BE3,2025,32.11 ,32.11
A,I_DSK2_B,PC_IND,BG,2025,26.49 ,26.49
A,I_DSK2_B,PC_IND,BG3,2025,24.27 ,24.27
A,I_DSK2_B,PC_IND,BG4,2025,28.52 ,28.52
A,I_DSK2_B,PC_IND,CH,2025,32.55 ,32.55
A,I_DSK2_B,PC_IND,CY,2025,37.49 ,37.49
A,I_DSK2_B,PC_IND,CZ,2025,33.11 ,33.11
A,I_DSK2_B,PC_IND,DE,2025,35.33 ,35.33
A,I_DSK2_B,PC_IND,DE1,2025,39.13 ,39.13
A,I_DSK2_B,PC_IND,DE2,2025,27.94 ,27.94
A,I_DSK2_B,PC_IND,DE3,2025,32.81 ,32.81
A,I_DSK2_B,PC_IND,DE4,2025,37.46 ,37.46
A,I_DSK2_B,PC_IND,DE6,2025,29.06 ,29.06
A,I_DSK2_B,PC_IND,DE7,2025,31.27 ,31.27
A,I_DSK2_B,PC_IND,DE8,2025,33.28 ,33.28
A,I_DSK2_B,PC_IND,DE9,2025,39.55 ,39.55
A,I_DSK2_B,PC_IND,DEA,2025,37.97 ,37.97
A,I_DSK2_B,PC_IND,DED,2025,36.35 ,36.35
A,I_DSK2_B,PC_IND,DEE,2025,29.26 ,29.26
A,I_DSK2_B,PC_IND,DEF,2025,38.81 ,38.81
A,I_DSK2_B,PC_IND,DK,2025,28.41 ,28.41
A,I_DSK2_B,PC_IND,EE,2025,28.87 ,28.87
A,I_DSK2_B,PC_IND,EL,2025,23.49 ,23.49
A,I_DSK2_B,PC_IND,EL3,2025,26.92 ,26.92
A,I_DSK2_B,PC_IND,EL4,2025,25.55 ,25.55
A,I_DSK2_B,PC_IND,EL5,2025,22.11 ,22.11
A,I_DSK2_B,PC_IND,EL6,2025,18.84 ,18.84
A,I_DSK2_B,PC_IND,ES,2025,27.65 ,27.65
A,I_DSK2_B,PC_IND,ES1,2025,25.89 ,25.89
A,I_DSK2_B,PC_IND,ES2,2025,29.36 ,29.36
A,I_DSK2_B,PC_IND,ES3,2025,27.18 ,27.18
A,I_DSK2_B,PC_IND,ES4,2025,27.59 ,27.59
A,I_DSK2_B,PC_IND,ES5,2025,27.43 ,27.43
A,I_DSK2_B,PC_IND,ES6,2025,27.74 ,27.74
A,I_DSK2_B,PC_IND,ES7,2025,30.05 ,30.05
A,I_DSK2_B,PC_IND,FI,2025,26.07 ,26.07
A,I_DSK2_B,PC_IND,FR,2025,30.75 ,30.75
A,I_DSK2_B,PC_IND,FR1,2025,30.05 u,30.05
A,I_DSK2_B,PC_IND,FRB,2025,28.57 u,28.57
A,I_DSK2_B,PC_IND,FRC,2025,33.08 u,33.08
A,I_DSK2_B,PC_IND,FRD,2025,29.34 u,29.34
A,I_DSK2_B,PC_IND,FRE,2025,29.91 u,29.91
A,I_DSK2_B,PC_IND,FRF,2025,30.68 u,30.68
A,I_DSK2_B,PC_IND,FRG,2025,29.74 u,29.74
A,I_DSK2_B,PC_IND,FRH,2025,32.41 u,32.41
A,I_DSK2_B,PC_IND,FRI,2025,32.12 u,32.12
A,I_DSK2_B,PC_IND,FRJ,2025,31.54 u,31.54
A,I_DSK2_B,PC_IND,FRK,2025,31.59 u,31.59
A,I_DSK2_B,PC_IND,FRL,2025,33.52 u,33.52
A,I_DSK2_B,PC_IND,FRM,2025,28.75 u,28.75
A,I_DSK2_B,PC_IND,FRY,2025,21.50 u,21.5
A,I_DSK2_B,PC_IND,HR,2025,35.72 ,35.72
A,I_DSK2_B,PC_IND,HU,2025,23.27 ,23.27
A,I_DSK2_B,PC_IND,HU1,2025,22.75 ,22.75
A,I_DSK2_B,PC_IND,HU2,2025,24.58 ,24.58
A,I_DSK2_B,PC_IND,HU3,2025,22.67 ,22.67
A,I_DSK2_B,PC_IND,IE,2025,28.42 ,28.42
A,I_DSK2_B,PC_IND,IT,2025,22.76 ,22.76
A,I_DSK2_B,PC_IND,ITC,2025,24.02 ,24.02
A,I_DSK2_B,PC_IND,ITF,2025,20.12 ,20.12
A,I_DSK2_B,PC_IND,ITG,2025,22.34 ,22.34
A,I_DSK2_B,PC_IND,ITH,2025,23.97 ,23.97
A,I_DSK2_B,PC_IND,ITI,2025,23.15 ,23.15
A,I_DSK2_B,PC_IND,LT,2025,26.48 ,26.48
A,I_DSK2_B,PC_IND,LU,2025,34.29 ,34.29
A,I_DSK2_B,PC_IND,LV,2025,28.30 ,28.3
A,I_DSK2_B,PC_IND,ME,2025,33.48 ,33.48
A,I_DSK2_B,PC_IND,MK,2025,22.35 ,22.35
A,I_DSK2_B,PC_IND,MT,2025,28.76 ,28.76
A,I_DSK2_B,PC_IND,NL,2025,27.99 ,27.99
A,I_DSK2_B,PC_IND,NL1,2025,30.59 ,30.59
A,I_DSK2_B,PC_IND,NL2,2025,31.17 ,31.17
A,I_DSK2_B,PC_IND,NL3,2025,25.74 ,25.74
A,I_DSK2_B,PC_IND,NL4,2025,28.78 ,28.78
A,I_DSK2_B,PC_IND,NO,2025,28.64 ,28.64
A,I_DSK2_B,PC_IND,PL,2025,26.87 ,26.87
A,I_DSK2_B,PC_IND,PL2,2025,26.69 ,26.69
A,I_DSK2_B,PC_IND,PL4,2025,26.02 ,26.02
A,I_DSK2_B,PC_IND,PL5,2025,30.27 ,30.27
A,I_DSK2_B,PC_IND,PL6,2025,26.08 ,26.08
A,I_DSK2_B,PC_IND,PL7,2025,29.82 ,29.82
A,I_DSK2_B,PC_IND,PL8,2025,24.05 ,24.05
A,I_DSK2_B,PC_IND,PL9,2025,27.83 ,27.83
A,I_DSK2_B,PC_IND,PT,2025,27.18 ,27.18
A,I_DSK2_B,PC_IND,PT1,2025,27.11 ,27.11
A,I_DSK2_B,PC_IND,PT2,2025,31.09 ,31.09
A,I_DSK2_B,PC_IND,PT3,2025,26.14 ,26.14
A,I_DSK2_B,PC_IND,RO,2025,20.71 ,20.71
A,I_DSK2_B,PC_IND,RO1,2025,17.94 ,17.94
A,I_DSK2_B,PC_IND,RO2,2025,21.81 ,21.81
A,I_DSK2_B,PC_IND,RO3,2025,23.38 ,23.38
A,I_DSK2_B,PC_IND,RO4,2025,18.89 ,18.89
A,I_DSK2_B,PC_IND,RS,2025,29.18 ,29.18
A,I_DSK2_B,PC_IND,RS1,2025,29.63 ,29.63
A,I_DSK2_B,PC_IND,RS2,2025,28.69 ,28.69
A,I_DSK2_B,PC_IND,SE,2025,31.88 ,31.88
A,I_DSK2_B,PC_IND,SE1,2025,31.12 ,31.12
A,I_DSK2_B,PC_IND,SE2,2025,33.08 ,33.08
A,I_DSK2_B,PC_IND,SE3,2025,30.76 ,30.76
A,I_DSK2_B,PC_IND,SI,2025,26.70 ,26.7
A,I_DSK2_B,PC_IND,SK,2025,32.40 ,32.4
A,I_DSK2_B,PC_IND,TR,2025,21.57 ,21.57
A,I_DSK2_B,PC_IND,TR1,2025,24.59 ,24.59
A,I_DSK2_B,PC_IND,TR2,2025,18.37 ,18.37
A,I_DSK2_B,PC_IND,TR3,2025,20.74 ,20.74
A,I_DSK2_B,PC_IND,TR4,2025,31.58 ,31.58
A,I_DSK2_B,PC_IND,TR5,2025,29.63 ,29.63
A,I_DSK2_B,PC_IND,TR6,2025,18.12 ,18.12
