rank,geo,country,nuts1_name,ai_literacy_gap_index,baseline_score,pillars_available,P1_norm,P2_norm,P3_norm,P4_norm,P5_norm,P6_norm,cluster_id,cluster_label
32,FRC,France,Bourgogne-Franche-Comté,0.4679152046214401,0.4725254685400671,6,0.4581611570247933,0.3002186127226485,0.273921200750469,0.7297297297297297,0.2923976608187135,0.7807244501940491,1,Ageing Workforce
33,PT1,Portugal,Continente,0.4525214942830279,0.4552945433273851,6,0.4404269972451791,0.2505674474254614,0.5891181988742964,0.6243243243243244,0.0789473684210526,0.7483829236739974,1,Ageing Workforce
34,ES5,Spain,Este,0.4495454124163341,0.4449082124643166,6,0.2787534435261708,0.4393331456610256,0.5909943714821763,0.6297297297297297,0.2953216374269006,0.4353169469598964,2,High Poverty & Low Education
35,FRE,France,Hauts-de-France,0.4487893747525687,0.4456344582890689,6,0.4209710743801653,0.4451364398070901,0.2514071294559099,0.7189189189189189,0.368421052631579,0.4689521345407502,3,Broadly Resilient
36,FRJ,France,Occitanie,0.4482337349236011,0.4530910904229727,6,0.3288567493112949,0.4404895081222628,0.1857410881801125,0.654054054054054,0.3771929824561404,0.7322121604139715,1,Ageing Workforce
37,DE7,Germany,Hessen,0.4435152069869554,0.4395088464063922,6,0.5631887052341598,0.3739962796848372,0.2439024390243901,0.8162162162162162,0.0789473684210526,0.5608020698576973,0,Low Digital Skills
38,DEA,Germany,Nordrhein-Westfalen,0.441873582734061,0.4385885278628534,6,0.3657024793388429,0.4322106212971188,0.273921200750469,0.8216216216216217,0.152046783625731,0.5860284605433377,1,Ageing Workforce
39,ITC,Italy,Nord-Ovest,0.4415108287654667,0.4439474933520183,6,0.4275137741046831,0.1145225364147013,0.5084427767354597,0.7837837837837838,0.0409356725146199,0.7884864165588616,1,Ageing Workforce
40,FRL,France,Provence-Alpes-Côte d’Azur,0.4372596209142224,0.4414491821594978,6,0.3040633608815426,0.3237905229029251,0.2626641651031894,0.7324324324324325,0.2573099415204679,0.7684346701164296,1,Ageing Workforce
41,DE9,Germany,Niedersachsen,0.4354197644727905,0.4339569694548124,6,0.3507231404958678,0.3966099047192886,0.2382739212007504,0.8378378378378378,0.1198830409356725,0.6604139715394567,1,Ageing Workforce
42,BE3,Belgium,Région wallonne,0.4321862900829701,0.4301508712317611,6,0.4349173553719009,0.3009733252017953,0.2908067542213883,0.6972972972972973,0.3976608187134503,0.4592496765847348,3,Broadly Resilient
43,DEF,Germany,Schleswig-Holstein,0.4317083668404515,0.4322220454251732,6,0.3577823691460056,0.3303354506001283,0.2082551594746716,0.8405405405405406,0.1461988304093567,0.7102199223803363,1,Ageing Workforce
44,FRF,France,Grand Est,0.4284958902856155,0.4288483998114549,6,0.4056473829201102,0.2996092393611249,0.2495309568480299,0.7432432432432432,0.2631578947368421,0.611901681759379,1,Ageing Workforce
45,PL6,Poland,Makroregion północny,0.426031104622965,0.4219921501593478,6,0.6635674931129476,0.270094666118931,0.0619136960600375,0.8540540540540541,0.195906432748538,0.4864165588615783,0,Low Digital Skills
46,HR0,Croatia,Hrvatska,0.4256148450665218,0.4245070388677029,6,0.3751721763085398,0.3245799803643849,0.1125703564727955,0.9135135135135136,0.1549707602339181,0.666235446313066,1,Ageing Workforce
47,FRD,France,Normandie,0.4232496059320002,0.4274397686432725,6,0.3904958677685949,0.2140068785051911,0.2176360225140712,0.7135135135135136,0.3304093567251462,0.6985769728331177,1,Ageing Workforce
48,BE1,Belgium,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,0.417656412419946,0.4067881493639544,6,0.3440082644628099,0.7459383593725343,0.273921200750469,0.4540540540540541,0.6228070175438597,0.0,4,Low-Skill Unemployment
